258,3.5,4828
387,4.0,4210
170,3.4,3294
936,4.4,5325
691,3.5,2654
349,3.3,4864
890,4.0,4344
196,3.2,3417
991,3.2,2818
931,5.0,3412
179,4.4,5300
215,4.7,3593
347,3.5,2984
812,4.0,5316
199,4.6,5409
132,3.1,3125
421,3.2,2235
560,4.7,2075
536,3.1,3187
705,4.8,2058
761,4.0,3633
709,3.9,3741
131,3.0,3297
696,4.7,4780
628,4.9,4631
828,3.8,3528
525,3.3,2938
536,3.2,2380
113,3.7,5230
656,4.2,3785
693,3.2,2681
346,3.0,4908
975,3.9,4485
982,4.3,4370
560,3.8,2646
575,4.1,2710
509,4.3,3557
363,4.4,4338
373,3.4,3555
130,3.1,3081
938,3.9,5312
513,3.1,4254
327,4.4,5304
365,4.1,2303
951,4.6,3687
116,3.9,5200
488,4.4,2862
260,4.5,3133
902,4.6,3415
411,3.2,2259
257,4.1,3344
897,4.0,4551
161,4.7,2237
435,3.9,3025
653,3.8,2280
875,3.5,3619
183,4.3,4172
333,4.4,5325
193,5.0,3452
809,4.8,4957
449,3.7,3461
161,4.5,4782
515,4.2,5006
468,3.1,2004
931,3.0,4580
575,4.3,4856
483,4.5,5514
425,4.1,4027
526,3.2,2561
692,4.0,3626
375,4.9,2916
288,3.3,3325
334,4.6,4788
127,4.8,2882
257,4.5,4795
714,3.6,2974
782,4.4,2935
685,4.1,3305
930,4.0,2348
281,4.2,4813
634,3.5,5300
670,3.9,2052
801,3.2,3883
822,4.0,2329
612,3.6,5241
117,4.1,3596
293,3.9,3524
433,3.1,3032
570,4.6,3447
820,4.5,2330
492,4.3,2212
180,3.8,5219
439,4.4,4376
192,3.4,3704
983,4.2,4180
973,3.8,3184
630,4.5,2706
184,3.5,3479
145,3.9,3578
439,4.1,2211
244,3.9,4846
880,4.3,5499
184,3.2,5161
500,3.5,2395
146,4.2,2526
689,3.7,4336
554,4.2,5116
597,4.1,4529
577,4.5,3680
857,3.4,2716
717,4.2,3796
797,4.7,2746
197,3.2,5285
686,4.5,3079
938,3.0,4845
790,4.3,3652
649,5.0,3849
377,4.6,2557
561,4.9,5399
951,3.4,2268
521,3.4,5222
112,3.9,3012
865,3.0,3209
367,3.8,2403
432,3.1,4580
510,4.7,5510
872,4.4,5096
315,3.1,3531
194,4.9,5210
787,3.7,3010
379,4.0,3792
376,4.8,2715
501,4.8,3805
908,4.6,2939
764,4.9,4928
939,4.8,2933
940,3.5,5352
824,5.0,4288
477,4.9,4759
413,3.2,4708
563,4.0,3756
186,4.8,4591
449,4.5,4090
268,4.0,2104
535,4.9,3975
230,4.5,3790
734,4.1,5227
656,5.0,3752
554,3.3,2435
897,4.1,4905
588,4.7,5409
482,3.8,4629
529,3.7,3584
698,3.8,4853
733,3.5,4536
544,3.2,2984
173,4.0,3246
508,4.1,2494
674,3.9,2235
729,3.4,4787
744,4.8,5449
255,4.6,4619
507,3.5,2272
253,3.0,3450
148,3.3,3283
